# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2539.1233	593
0.859 0.43	34.5404	9.8451	25
0.787 0.46	33.2727	9.7674	24
0.903 0.99	10.478	7.9685	3
0.087 0.45	18601.4	31425.8676	12824
0.098 0.46	11726.1	30206.3204	18480
0.055 0.87	110759	386875.2386	276116
0.162 0.59	1704.27	2428.9951	725
0.041 0.99	356278	410600.4054	54322
0.55 0.34	83.8325	12.8034	71
0.465 0.64	57.1501	10.8219	46
0.765 0.04	15169.3	26330.0914	11161
0.69 0.30	80.114	13.0366	67
0.77 0.96	14.0236	8.1105	6
0.514 0.42	71.3328	12.0382	59
0.099 0.02	167678	359657.2398	191979
0.542 0.31	103.427	134.1151	31
0.806 0.68	18.6178	8.8949	10
0.776 0.70	18.7983	8.8914	10
0.027 0.21	1.91206e+06	3775215.9422	1863156
0.516 0.12	749.84	211.672	538
0.032 0.92	957834	421655.5272	536178
0.998 0.19	187.882	186.9666	1
0.518 0.39	77.463	12.3397	65
0.19 0.06	7034.81	2804.9865	4230
0.093 0.00	3.3273e+06	3737679.2797	410379
0.065 0.85	57094.6	37185.445	19909
0.048 0.75	190578	392734.4556	202156
0.167 0.17	2600.82	2452.5314	148
0.07 0.03	138305	382229.6075	243925
0.944 0.1	268.598	239.3831	29
0.408 0.83	69.0706	10.7979	58
0.481 0.21	237.887	164.8984	73
0.52 0.60	46.2721	10.4161	36
0.276 0.89	234.11	151.8299	82
0.825 0.79	15.1166	8.6387	6
0.376 0.20	343.707	172.9032	171
0.715 0.37	53.4468	11.259	42
0.403 0.58	88.1067	12.32	76
0.119 0.94	5286.02	2983.587	2302
0.119 0.94	5286.02	2983.587	2302
0.305 0.07	4033.6	2435.1094	1598
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2453.1785	507
0.482 0.60	55.3529	12.4777	43
0.308 0.46	215.057	167.8732	47
0.094 0.06	31475.4	40732.929	9258
0.224 0.69	513.623	187.4786	326
0.543 0.72	35.978	10.4563	26
0.273 0.20	630.665	199.4937	431
0.298 0.78	187.725	149.4451	38
0.156 0.12	4336.23	2872.4442	1464
0.859 0.43	34.5404	9.5953	25
0.787 0.46	33.2727	9.7633	24
0.903 0.99	10.478	8.8165	2
0.087 0.45	18601.4	35072.5844	16471
0.098 0.46	11726.1	32923.166	21197
0.055 0.87	110759	427394.8725	316636
0.162 0.59	1704.27	2377.7705	674
0.041 0.99	356278	463208.4439	106930
0.55 0.34	83.8325	14.3509	69
0.465 0.64	57.1501	12.385	45
0.765 0.04	15169.3	31233.3923	16064
0.69 0.30	80.114	13.0989	67
0.77 0.96	14.0236	8.8746	5
0.514 0.42	71.3328	13.8344	57
0.099 0.02	167678	431794.1376	264116
0.542 0.31	103.427	150.0186	47
0.806 0.68	18.6178	9.0376	10
0.776 0.70	18.7983	9.0761	10
0.027 0.21	1.91206e+06	5024409.6941	3112350
0.516 0.12	749.84	239.6794	510
0.032 0.92	957834	490033.1697	467801
0.998 0.19	187.882	181.4038	6
0.518 0.39	77.463	14.1293	63
0.19 0.06	7034.81	3040.9747	3994
0.093 0.00	3.3273e+06	4592026.3215	1264726
0.065 0.85	57094.6	40210.9982	16884
0.048 0.75	190578	446119.1355	255541
0.167 0.17	2600.82	2567.6381	33
0.07 0.03	138305	477557.011	339252
0.944 0.1	268.598	258.3221	10
0.408 0.83	69.0706	11.6253	57
0.481 0.21	237.887	182.9921	55
0.52 0.60	46.2721	11.802	34
0.276 0.89	234.11	147.0162	87
0.825 0.79	15.1166	8.9116	6
0.376 0.20	343.707	189.4689	154
0.715 0.37	53.4468	11.3315	42
0.403 0.58	88.1067	14.1838	74
0.119 0.94	5286.02	2854.5703	2431
0.119 0.94	5286.02	2854.5703	2431
0.305 0.07	4033.6	2705.2475	1328
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2610.8797	664
0.482 0.60	55.3529	13.2592	42
0.308 0.46	215.057	200.35	15
0.094 0.06	31475.4	32261.1825	786
0.224 0.69	513.623	148.4561	365
0.543 0.72	35.978	11.6564	24
0.273 0.20	630.665	241.0399	390
0.298 0.78	187.725	123.7581	64
0.156 0.12	4336.23	2745.2844	1591
0.859 0.43	34.5404	20.1856	14
0.787 0.46	33.2727	19.3724	14
0.903 0.99	10.478	12.7672	2
0.087 0.45	18601.4	35535.7381	16934
0.098 0.46	11726.1	33279.9889	21554
0.055 0.87	110759	450191.3015	339432
0.162 0.59	1704.27	2046.6929	342
0.041 0.99	356278	530226.4032	173948
0.55 0.34	83.8325	22.6876	61
0.465 0.64	57.1501	12.3437	45
0.765 0.04	15169.3	23429.2827	8260
0.69 0.30	80.114	23.1243	57
0.77 0.96	14.0236	11.3095	3
0.514 0.42	71.3328	21.0004	50
0.099 0.02	167678	312652.9626	144975
0.542 0.31	103.427	229.6317	126
0.806 0.68	18.6178	11.4298	7
0.776 0.70	18.7983	11.3825	7
0.027 0.21	1.91206e+06	4720716.3416	2808656
0.516 0.12	749.84	233.6304	516
0.032 0.92	957834	536975.3291	420859
0.998 0.19	187.882	221.5386	34
0.518 0.39	77.463	21.8277	56
0.19 0.06	7034.81	2566.919	4468
0.093 0.00	3.3273e+06	3170716.0479	156584
0.065 0.85	57094.6	41478.208	15616
0.048 0.75	190578	437727.4284	247149
0.167 0.17	2600.82	2708.2352	107
0.07 0.03	138305	350768.8258	212464
0.944 0.1	268.598	229.0877	40
0.408 0.83	69.0706	11.4731	58
0.481 0.21	237.887	233.1302	5
0.52 0.60	46.2721	13.2908	33
0.276 0.89	234.11	131.4336	103
0.825 0.79	15.1166	11.0613	4
0.376 0.20	343.707	234.443	109
0.715 0.37	53.4468	22.3482	31
0.403 0.58	88.1067	13.9495	74
0.119 0.94	5286.02	2988.4821	2298
0.119 0.94	5286.02	2988.4821	2298
0.305 0.07	4033.6	2375.9602	1658
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	1967.3041	21
0.482 0.60	55.3529	10.4244	45
0.308 0.46	215.057	153.3601	62
0.094 0.06	31475.4	35818.7828	4343
0.224 0.69	513.623	217.8497	296
0.543 0.72	35.978	9.1279	27
0.273 0.20	630.665	179.7498	451
0.298 0.78	187.725	165.7155	22
0.156 0.12	4336.23	2284.036	2052
0.859 0.43	34.5404	9.8291	25
0.787 0.46	33.2727	9.1903	24
0.903 0.99	10.478	9.0737	1
0.087 0.45	18601.4	36237.017	17636
0.098 0.46	11726.1	34056.883	22331
0.055 0.87	110759	400722.4003	289963
0.162 0.59	1704.27	2692.4682	988
0.041 0.99	356278	421347.9181	65070
0.55 0.34	83.8325	12.4626	71
0.465 0.64	57.1501	10.6868	46
0.765 0.04	15169.3	30742.9636	15574
0.69 0.30	80.114	12.6819	67
0.77 0.96	14.0236	9.3183	5
0.514 0.42	71.3328	11.2698	60
0.099 0.02	167678	384887.7195	217210
0.542 0.31	103.427	133.648	30
0.806 0.68	18.6178	9.1864	9
0.776 0.70	18.7983	9.0333	10
0.027 0.21	1.91206e+06	5312534.844	3400475
0.516 0.12	749.84	242.1014	508
0.032 0.92	957834	463240.5755	494593
0.998 0.19	187.882	165.2898	23
0.518 0.39	77.463	11.7016	66
0.19 0.06	7034.81	2530.5964	4504
0.093 0.00	3.3273e+06	4224163.9038	896864
0.065 0.85	57094.6	38176.8195	18918
0.048 0.75	190578	455332.7854	264755
0.167 0.17	2600.82	2035.1775	566
0.07 0.03	138305	452828.5302	314524
0.944 0.1	268.598	225.6597	43
0.408 0.83	69.0706	11.7811	57
0.481 0.21	237.887	179.3894	58
0.52 0.60	46.2721	9.7644	37
0.276 0.89	234.11	155.8297	78
0.825 0.79	15.1166	9.3028	6
0.376 0.20	343.707	186.7664	157
0.715 0.37	53.4468	10.6988	43
0.403 0.58	88.1067	12.3812	76
0.119 0.94	5286.02	2362.6895	2923
0.119 0.94	5286.02	2362.6895	2923
0.305 0.07	4033.6	2695.6391	1338
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2614.7697	668
0.482 0.60	55.3529	11.1921	44
0.308 0.46	215.057	144.7593	70
0.094 0.06	31475.4	42902.349	11427
0.224 0.69	513.623	192.0181	322
0.543 0.72	35.978	10.1252	26
0.273 0.20	630.665	193.763	437
0.298 0.78	187.725	143.2309	44
0.156 0.12	4336.23	3117.5963	1219
0.859 0.43	34.5404	11.1273	23
0.787 0.46	33.2727	11.0077	22
0.903 0.99	10.478	7.6963	3
0.087 0.45	18601.4	34888.4645	16287
0.098 0.46	11726.1	33226.8629	21501
0.055 0.87	110759	432322.1711	321563
0.162 0.59	1704.27	2518.6639	814
0.041 0.99	356278	464939.2102	108661
0.55 0.34	83.8325	12.3671	71
0.465 0.64	57.1501	11.1461	46
0.765 0.04	15169.3	27294.272	12125
0.69 0.30	80.114	12.8101	67
0.77 0.96	14.0236	8.3111	6
0.514 0.42	71.3328	11.7562	60
0.099 0.02	167678	454909.8059	287232
0.542 0.31	103.427	128.2874	25
0.806 0.68	18.6178	9.5176	9
0.776 0.70	18.7983	9.4604	9
0.027 0.21	1.91206e+06	4575027.3618	2662967
0.516 0.12	749.84	204.6128	545
0.032 0.92	957834	473468.3802	484366
0.998 0.19	187.882	163.5452	24
0.518 0.39	77.463	11.9536	66
0.19 0.06	7034.81	3255.1666	3780
0.093 0.00	3.3273e+06	4801769.6647	1474470
0.065 0.85	57094.6	41422.4735	15672
0.048 0.75	190578	437146.7576	246569
0.167 0.17	2600.82	2746.9562	146
0.07 0.03	138305	488365.5489	350061
0.944 0.1	268.598	222.1415	46
0.408 0.83	69.0706	10.9218	58
0.481 0.21	237.887	156.7238	81
0.52 0.60	46.2721	10.9592	35
0.276 0.89	234.11	154.1555	80
0.825 0.79	15.1166	8.8445	6
0.376 0.20	343.707	168.8934	175
0.715 0.37	53.4468	11.7843	42
0.403 0.58	88.1067	12.076	76
0.119 0.94	5286.02	3314.5866	1971
0.119 0.94	5286.02	3314.5866	1971
0.305 0.07	4033.6	2635.3543	1398
